claim,Universal Pct.,Company Pct.
I45: Other conduction disorders,0.55,1.24
N18: Chronic kidney disease (CKD),0.55,1.38
M89: Other disorders of bone,0.55,0.83
Z29: Encounter for other prophylactic measures,0.55,0.55
H52: Disorders of refraction and accommodation,0.55,0.28
R30: Pain associated with micturition,0.53,0.14
D48: Neoplasm of uncertain behavior of other and unsp sites,0.52,0.83
L81: Other disorders of pigmentation,0.51,0.14
D68: Other coagulation defects,0.51,0.41
R35: Polyuria,0.5,0.83
"R22: Localized swelling, mass and lump of skin, subcu",0.5,0.69
